rotation_id,depot_id,distance,duration
93826,251,6933.0,935.6
93826,252,29218.6,4100.6
93826,253,11088.8,1559.4
93826,254,27206.6,3887.8
93826,255,18078.2,2376.4
93826,256,44800.2,5187.2
98751,251,16124.3,2178.0
98751,252,27371.9,3474.0
98751,253,19602.699999999997,2619.2
98751,254,17068.899999999998,2450.8
98751,255,16312.8,2249.6000000000004
98751,256,33742.1,4005.5
96641,251,16124.3,2178.0
96641,252,27371.9,3474.0
96641,253,19602.699999999997,2619.2
96641,254,17068.899999999998,2450.8
96641,255,16312.8,2249.6000000000004
96641,256,33742.1,4005.5
93280,251,16124.3,2178.0
93280,252,27371.9,3474.0
93280,253,19602.699999999997,2619.2
93280,254,17068.899999999998,2450.8
93280,255,16312.8,2249.6000000000004
93280,256,33742.1,4005.5
99196,251,9697.0,1316.4
99196,252,27070.6,3672.9
99196,253,13175.4,1757.5
99196,254,23476.1,3347.3
99196,255,17008.8,2388.7
99196,256,39668.399999999994,4861.4
98752,251,16124.3,2178.0
98752,252,27371.9,3474.0
98752,253,19602.699999999997,2619.2
98752,254,17068.899999999998,2450.8
98752,255,16312.8,2249.6000000000004
98752,256,33742.1,4005.5
93276,251,18888.3,2558.8
93276,252,25223.9,3046.3
93276,253,21689.3,2817.3
93276,254,13338.4,1910.3000000000002
93276,255,15243.4,2261.9
93276,256,28610.3,3679.7000000000003
89722,251,16124.3,2178.0
89722,252,27371.9,3474.0
89722,253,19602.699999999997,2619.2
89722,254,17068.899999999998,2450.8
89722,255,16312.8,2249.6000000000004
89722,256,33742.1,4005.5
93822,251,9697.0,1316.4
93822,252,27070.6,3672.9
93822,253,13175.4,1757.5
93822,254,23476.1,3347.3
93822,255,17008.8,2388.7
93822,256,39668.399999999994,4861.4
90351,251,25315.6,3420.4
90351,252,25525.2,2847.4
90351,253,28116.6,3679.0
90351,254,6931.2,1013.8
90351,255,14547.4,2122.8
90351,256,22684.0,2823.8
93913,251,12461.0,1697.2
93913,252,24922.6,3245.2
93913,253,15262.0,1955.6
93913,254,19745.6,2806.8
93913,255,15939.4,2401.0
93913,256,34536.6,4535.6
98102,251,9697.0,1316.4
98102,252,27070.6,3672.9
98102,253,13175.4,1757.5
98102,254,23476.1,3347.3
98102,255,17008.8,2388.7
98102,256,39668.399999999994,4861.4
89718,251,6933.0,935.6
89718,252,29218.6,4100.6
89718,253,11088.8,1559.4
89718,254,27206.6,3887.8
89718,255,18078.2,2376.4
89718,256,44800.2,5187.2
92864,251,16124.3,2178.0
92864,252,27371.9,3474.0
92864,253,19602.699999999997,2619.2
92864,254,17068.899999999998,2450.8
92864,255,16312.8,2249.6000000000004
92864,256,33742.1,4005.5
90348,251,9697.0,1316.4
90348,252,27070.6,3672.9
90348,253,13175.4,1757.5
90348,254,23476.1,3347.3
90348,255,17008.8,2388.7
90348,256,39668.399999999994,4861.4
91259,251,9697.0,1316.4
91259,252,27070.6,3672.9
91259,253,13175.4,1757.5
91259,254,23476.1,3347.3
91259,255,17008.8,2388.7
91259,256,39668.399999999994,4861.4
96646,251,9697.0,1316.4
96646,252,27070.6,3672.9
96646,253,13175.4,1757.5
96646,254,23476.1,3347.3
96646,255,17008.8,2388.7
96646,256,39668.399999999994,4861.4
93281,251,16124.3,2178.0
93281,252,27371.9,3474.0
93281,253,19602.699999999997,2619.2
93281,254,17068.899999999998,2450.8
93281,255,16312.8,2249.6000000000004
93281,256,33742.1,4005.5
89721,251,6933.0,935.6
89721,252,29218.6,4100.6
89721,253,11088.8,1559.4
89721,254,27206.6,3887.8
89721,255,18078.2,2376.4
89721,256,44800.2,5187.2
92855,251,6933.0,935.6
92855,252,29218.6,4100.6
92855,253,11088.8,1559.4
92855,254,27206.6,3887.8
92855,255,18078.2,2376.4
92855,256,44800.2,5187.2
93820,251,16124.3,2178.0
93820,252,27371.9,3474.0
93820,253,19602.699999999997,2619.2
93820,254,17068.899999999998,2450.8
93820,255,16312.8,2249.6000000000004
93820,256,33742.1,4005.5
90345,251,6933.0,935.6
90345,252,29218.6,4100.6
90345,253,11088.8,1559.4
90345,254,27206.6,3887.8
90345,255,18078.2,2376.4
90345,256,44800.2,5187.2
91260,251,16124.3,2178.0
91260,252,27371.9,3474.0
91260,253,19602.699999999997,2619.2
91260,254,17068.899999999998,2450.8
91260,255,16312.8,2249.6000000000004
91260,256,33742.1,4005.5
96645,251,13118.5,1856.3
96645,252,24507.0,3226.0
96645,253,15962.6,2295.1000000000004
96645,254,19936.0,2742.1000000000004
96645,255,17396.4,2285.1000000000004
96645,256,36844.5,4400.0
93275,251,6933.0,935.6
93275,252,29218.6,4100.6
93275,253,11088.8,1559.4
93275,254,27206.6,3887.8
93275,255,18078.2,2376.4
93275,256,44800.2,5187.2
89715,251,16124.3,2178.0
89715,252,27371.9,3474.0
89715,253,19602.699999999997,2619.2
89715,254,17068.899999999998,2450.8
89715,255,16312.8,2249.6000000000004
89715,256,33742.1,4005.5
98750,251,16124.3,2178.0
98750,252,27371.9,3474.0
98750,253,19602.699999999997,2619.2
98750,254,17068.899999999998,2450.8
98750,255,16312.8,2249.6000000000004
98750,256,33742.1,4005.5
91254,251,16124.3,2178.0
91254,252,27371.9,3474.0
91254,253,19602.699999999997,2619.2
91254,254,17068.899999999998,2450.8
91254,255,16312.8,2249.6000000000004
91254,256,33742.1,4005.5
96648,251,6933.0,935.6
96648,252,29218.6,4100.6
96648,253,11088.8,1559.4
96648,254,27206.6,3887.8
96648,255,18078.2,2376.4
96648,256,44800.2,5187.2
93279,251,13118.5,1856.3
93279,252,24507.0,3226.0
93279,253,15962.6,2295.1000000000004
93279,254,19936.0,2742.1000000000004
93279,255,17396.4,2285.1000000000004
93279,256,36844.5,4400.0
89724,251,16124.3,2178.0
89724,252,27371.9,3474.0
89724,253,19602.699999999997,2619.2
89724,254,17068.899999999998,2450.8
89724,255,16312.8,2249.6000000000004
