,rotation_id,new_depot_id,assignment
0,89271,0,1.0
1,99084,5,1.0
2,88799,4,1.0
3,90271,4,1.0
4,90272,4,1.0
5,90273,4,1.0
6,90274,4,1.0
7,90275,4,1.0
8,90276,4,1.0
9,90277,4,1.0
10,90278,4,1.0
11,90279,4,1.0
12,90280,4,1.0
13,90405,0,1.0
14,90406,1,1.0
15,90407,1,1.0
16,90408,3,1.0
17,90409,3,1.0
18,90410,3,1.0
19,90411,0,1.0
20,90412,0,1.0
21,90413,0,1.0
22,90414,0,1.0
23,90415,0,1.0
24,90423,1,1.0
25,90434,2,1.0
26,90435,2,1.0
27,90436,2,1.0
28,90437,0,1.0
29,90438,0,1.0
30,90439,0,1.0
31,90440,0,1.0
32,90441,0,1.0
33,90442,0,1.0
34,90443,0,1.0
35,90444,0,1.0
36,90445,0,1.0
37,90446,0,1.0
38,90447,0,1.0
39,90448,0,1.0
40,90536,0,1.0
41,90537,0,1.0
42,90538,0,1.0
43,90539,0,1.0
44,90540,0,1.0
45,90541,0,1.0
46,90542,0,1.0
47,90543,0,1.0
48,90544,3,1.0
49,90545,3,1.0
50,90546,1,1.0
51,90547,3,1.0
52,90548,3,1.0
53,90549,1,1.0
54,90550,1,1.0
55,90551,1,1.0
56,90552,1,1.0
57,90553,1,1.0
58,90554,1,1.0
59,90555,3,1.0
60,90556,3,1.0
61,90557,3,1.0
62,90558,3,1.0
63,90670,1,1.0
64,90671,1,1.0
65,90673,5,1.0
66,90674,5,1.0
67,90675,5,1.0
68,90676,5,1.0
69,90677,5,1.0
70,90678,5,1.0
71,90679,5,1.0
72,90680,5,1.0
73,90681,5,1.0
74,90682,5,1.0
75,90683,5,1.0
76,90684,5,1.0
77,90685,5,1.0
78,90686,1,1.0
79,90687,1,1.0
80,90688,1,1.0
81,90689,3,1.0
82,90690,0,1.0
83,90691,0,1.0
84,90693,1,1.0
85,90694,0,1.0
86,90695,0,1.0
87,90696,0,1.0
88,90804,4,1.0
89,90805,4,1.0
90,90806,4,1.0
91,90807,4,1.0
92,90808,4,1.0
93,90809,4,1.0
94,90810,0,1.0
95,90811,0,1.0
96,90812,0,1.0
97,90813,0,1.0
98,90814,0,1.0
99,90815,0,1.0
100,90816,0,1.0
101,90817,0,1.0
102,90818,0,1.0
103,90819,0,1.0
104,90820,0,1.0
105,90821,0,1.0
106,90822,0,1.0
107,90823,0,1.0
108,90824,0,1.0
109,90841,2,1.0
110,90842,2,1.0
111,90861,4,1.0
112,90862,4,1.0
113,90863,4,1.0
114,90864,4,1.0
115,90871,4,1.0
116,90874,4,1.0
117,90875,3,1.0
118,90876,3,1.0
119,90877,3,1.0
120,90878,3,1.0
121,90879,3,1.0
122,90880,3,1.0
123,90881,3,1.0
124,90882,3,1.0
125,90883,3,1.0
126,90884,3,1.0
127,90885,3,1.0
128,90886,3,1.0
129,90887,3,1.0
130,90888,1,1.0
131,90939,4,1.0
132,90940,4,1.0
133,90941,4,1.0
134,90942,4,1.0
135,90943,4,1.0
136,90944,4,1.0
137,90945,4,1.0
138,90946,4,1.0
139,90947,4,1.0
140,90948,4,1.0
141,90949,4,1.0
142,90950,4,1.0
143,90951,4,1.0
144,90953,4,1.0
145,90954,4,1.0
146,90960,2,1.0
147,90961,2,1.0
148,90963,1,1.0
149,90964,3,1.0
150,90965,3,1.0
151,90966,1,1.0
152,90967,1,1.0
153,90968,1,1.0
154,90969,2,1.0
155,90973,4,1.0
156,90974,4,1.0
157,90977,2,1.0
158,90978,2,1.0
159,90979,2,1.0
160,90980,2,1.0
161,90983,1,1.0
162,90984,1,1.0
163,90985,1,1.0
164,90986,1,1.0
165,90987,1,1.0
166,90988,1,1.0
167,90989,1,1.0
168,90990,1,1.0
169,90991,3,1.0
170,90992,3,1.0
171,90993,3,1.0
172,90994,3,1.0
173,90995,0,1.0
174,90998,2,1.0
175,91003,2,1.0
176,91004,2,1.0
177,91070,0,1.0
178,91073,0,1.0
179,91074,0,1.0
180,91075,0,1.0
181,91076,0,1.0
182,91077,0,1.0
183,91078,0,1.0
184,91079,0,1.0
185,91080,0,1.0
186,91081,0,1.0
187,91082,0,1.0
188,91083,0,1.0
189,91084,0,1.0
190,91085,3,1.0
191,91086,3,1.0
192,91087,3,1.0
193,91088,3,1.0
194,91089,3,1.0
195,91090,3,1.0
196,91093,0,1.0
197,91204,0,1.0
198,91205,0,1.0
199,91206,0,1.0
200,91207,0,1.0
201,91339,0,1.0
202,91340,1,1.0
203,91341,1,1.0
204,91342,1,1.0
205,91343,4,1.0
206,91344,4,1.0
207,91345,4,1.0
208,91346,4,1.0
209,91347,4,1.0
210,91348,4,1.0
211,91349,4,1.0
212,91350,4,1.0
213,91351,4,1.0
214,91352,4,1.0
215,91353,4,1.0
216,91354,4,1.0
217,91355,4,1.0
218,91356,4,1.0
219,91357,4,1.0
220,91358,4,1.0
221,91359,4,1.0
222,91360,5,1.0
223,91361,5,1.0
224,91362,5,1.0
225,91363,5,1.0
226,91364,5,1.0
227,91365,5,1.0
228,91366,5,1.0
229,91367,5,1.0
230,91368,5,1.0
231,91369,5,1.0
232,91370,5,1.0
233,91371,5,1.0
234,91372,5,1.0
235,91400,1,1.0
236,91401,1,1.0
237,91402,1,1.0
238,91403,1,1.0
239,91404,1,1.0
240,91405,1,1.0
241,91406,1,1.0
242,91407,3,1.0
243,91408,1,1.0
244,91409,1,1.0
245,91410,1,1.0
246,91411,1,1.0
247,91472,0,1.0
248,91475,2,1.0
249,91476,2,1.0
250,91477,2,1.0
251,91478,2,1.0
252,91479,0,1.0
253,91480,0,1.0
254,91481,0,1.0
255,91482,0,1.0
256,91483,0,1.0
257,91484,0,1.0
258,91485,0,1.0
259,91486,0,1.0
260,91487,0,1.0
261,91488,0,1.0
262,91489,0,1.0
263,91490,0,1.0
264,91492,3,1.0
265,91493,3,1.0
266,91494,3,1.0
267,91500,1,1.0
268,91501,1,1.0
269,91505,3,1.0
270,91507,3,1.0
271,91508,3,1.0
272,91509,2,1.0
273,91510,2,1.0
274,91511,2,1.0
275,91512,2,1.0
276,91513,4,1.0
277,91514,4,1.0
278,91515,4,1.0
279,91516,4,1.0
280,91517,4,1.0
281,91518,2,1.0
282,91519,2,1.0
283,91520,2,1.0
284,91521,2,1.0
285,91531,2,1.0
286,91609,0,1.0
287,91610,0,1.0
288,91611,0,1.0
289,91612,3,1.0
290,91613,3,1.0
291,91614,3,1.0
292,91615,3,1.0
293,91616,3,1.0
294,91617,3,1.0
295,91618,3,1.0
296,91619,3,1.0
297,91620,3,1.0
298,91621,3,1.0
299,91622,3,1.0
300,91623,3,1.0
301,91624,2,1.0
302,91630,4,1.0
303,91631,4,1.0
304,91632,4,1.0
305,91633,4,1.0
306,91634,4,1.0
307,91635,4,1.0
308,91636,4,1.0
309,91637,1,1.0
310,91638,1,1.0
311,91639,1,1.0
312,91640,3,1.0
313,91641,0,1.0
314,91642,0,1.0
