,rotation_id,first_non_depot_station_id,first_non_depot_station_coord,last_non_depot_station_id,last_non_depot_station_coord
0,93826,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281111,POINT Z (13.451590034222601 52.54215420785954 52)
1,98751,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
2,96641,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
3,93280,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
4,99196,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281038,POINT Z (13.409268506563652 52.52222673833713 36)
5,98752,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
6,93276,103281038,POINT Z (13.409268506563652 52.52222673833713 36),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
7,89722,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
8,93822,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281038,POINT Z (13.409268506563652 52.52222673833713 36)
9,90351,103279378,POINT Z (13.331818847923675 52.509740317330724 34),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
10,93913,103281038,POINT Z (13.409268506563652 52.52222673833713 36),103281038,POINT Z (13.409268506563652 52.52222673833713 36)
11,98102,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281038,POINT Z (13.409268506563652 52.52222673833713 36)
12,89718,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281111,POINT Z (13.451590034222601 52.54215420785954 52)
13,92864,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
14,90348,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281038,POINT Z (13.409268506563652 52.52222673833713 36)
15,91259,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281038,POINT Z (13.409268506563652 52.52222673833713 36)
16,96646,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281038,POINT Z (13.409268506563652 52.52222673833713 36)
17,93281,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
18,89721,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281111,POINT Z (13.451590034222601 52.54215420785954 52)
19,92855,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281111,POINT Z (13.451590034222601 52.54215420785954 52)
20,93820,103279378,POINT Z (13.331818847923675 52.509740317330724 34),103281111,POINT Z (13.451590034222601 52.54215420785954 52)
21,90345,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281111,POINT Z (13.451590034222601 52.54215420785954 52)
22,91260,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
23,96645,103279392,POINT Z (13.369886527656496 52.50871641930997 35),103281111,POINT Z (13.451590034222601 52.54215420785954 52)
24,93275,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281111,POINT Z (13.451590034222601 52.54215420785954 52)
25,89715,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
26,98750,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
27,91254,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103279378,POINT Z (13.331818847923675 52.509740317330724 34)
28,96648,103281111,POINT Z (13.451590034222601 52.54215420785954 52),103281111,POINT Z (13.451590034222601 52.54215420785954 52)
